,artist_links
503,https://www.widewalls.ch/artists/hamilton-aguiar
504,https://www.widewalls.ch/artists/jay-kelly
505,https://www.widewalls.ch/artists/kx2
506,https://www.widewalls.ch/artists/emily-berger
507,https://www.widewalls.ch/artists/jessica-renault-jrbrush
508,https://www.widewalls.ch/artists/botero-pop
509,https://www.widewalls.ch/artists/la-pointe
510,https://www.widewalls.ch/artists/andrew-hardy
511,https://www.widewalls.ch/artists/elizabeth-peyton
512,https://www.widewalls.ch/artists/victor-vasarely
513,https://www.widewalls.ch/artists/corneille
514,https://www.widewalls.ch/artists/albert-watson
515,https://www.widewalls.ch/artists/bernard-frize
516,https://www.widewalls.ch/artists/erte
517,https://www.widewalls.ch/artists/william-ronald
518,https://www.widewalls.ch/artists/jose-manuel-ciria
519,https://www.widewalls.ch/artists/barthelemy-toguo
520,https://www.widewalls.ch/artists/jason-middlebrook
521,https://www.widewalls.ch/artists/rafael-coronel
522,https://www.widewalls.ch/artists/anne-russinof
523,https://www.widewalls.ch/artists/stanley-whitney
524,https://www.widewalls.ch/artists/chris-ofili
525,https://www.widewalls.ch/artists/bernard-buffet
526,https://www.widewalls.ch/artists/frank-horvat
527,https://www.widewalls.ch/artists/raul-cordero
528,https://www.widewalls.ch/artists/pierre-auville
529,https://www.widewalls.ch/artists/onemizer
530,https://www.widewalls.ch/artists/john-giorno
531,https://www.widewalls.ch/artists/martin-munkacsi
532,https://www.widewalls.ch/artists/marc-desgrandchamps
533,https://www.widewalls.ch/artists/marcy-rosenblat
534,https://www.widewalls.ch/artists/menashe-kadishman
535,https://www.widewalls.ch/artists/hachiro-kanno
536,https://www.widewalls.ch/artists/hans-staudacher
537,https://www.widewalls.ch/artists/vasilena-gankovska
538,https://www.widewalls.ch/artists/beverly-fishman
539,https://www.widewalls.ch/artists/koenraad-dedobbeleer
540,https://www.widewalls.ch/artists/jean-francois-rauzier
541,https://www.widewalls.ch/artists/superflex
542,https://www.widewalls.ch/artists/amadeo-luciano-lorenzato
543,https://www.widewalls.ch/artists/jenik-cook
544,https://www.widewalls.ch/artists/arthur-boden
545,https://www.widewalls.ch/artists/giancarlo-impiglia
546,https://www.widewalls.ch/artists/brodsky-and-utkin
547,https://www.widewalls.ch/artists/john-hardy
548,https://www.widewalls.ch/artists/steli-christoff
549,https://www.widewalls.ch/artists/jim-rennert
550,https://www.widewalls.ch/artists/matt-shlian
551,https://www.widewalls.ch/artists/alejandra-quintanilla
552,https://www.widewalls.ch/artists/kevin-krag
553,https://www.widewalls.ch/artists/philippe-halaburda
554,https://www.widewalls.ch/artists/marcelo-martin-burgos
555,https://www.widewalls.ch/artists/lose
556,https://www.widewalls.ch/artists/ann-gardner
557,https://www.widewalls.ch/artists/giacomo-giannelli
558,https://www.widewalls.ch/artists/molly-gambardella
